id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate
1,427167,3231 W MARYLAND AVE,85017,Active,6395749,WEST PLAZA 6 LOT 614-787,1958,3,2,1302,4.1
2,400000,5109 E THOMAS RD,85018,Active,6243667,PAPAGO VILLAGE,1943,0,0,1358,2.2
3,399900,8020 W STELLA AVE,85303,Active,6384821,SHALIMAR,1997,3,2,1505,0.0
4,349000,6944 W Verde LN,85033,Active,6395738,MARYVALE TERRACE NO. 49,1983,3,3,1514,3.0
5,419000,4105 W PASADENA AVE,85019,Active,6395732,TU-DOR ESTATES,1971,4,2,1908,2.5
6,428900,2917 W SIERRA ST,85029,Active,6395727,GOLDWATER LAKES,1977,2,2,1272,3.3
7,360000,3632 W RUTH AVE,85051,Active,6395719,SUNSET GARDENS,1960,3,1.75,1566,4.3
8,360000,5628 S 41ST ST,85040,Active,6395712,KNOELL GARDEN GROVES UNIT 6,1979,2,2,1120,2.8
9,875000,541 W MARLETTE AVE,85013,Active,6395711,AMBASSADOR ESTS,1960,3,2,2270,2.0
10,335000,6716 N 51ST DR,85301,Active,6395696,SHEETS ADD,1947,3,2,1210,0.0
11,386000,4137 E LA SALLE ST,85040,UCB (Under Contract-Backups),6391948,FIORE,2004,3,2,1149,2.8
12,599000,2536 E SYLVIA ST,85032,UCB (Under Contract-Backups),6387602,CLEARVIEW 3,1971,4,2,1811,3.2
13,420000,4020 W Montebello AVE,85019,Active,6395679,West Plaza 17,1965,3,1.75,1673,2.5
14,870000,3701 E Laurel LN,85028,Active,6362211,"STAR OF PARADISE 2 LOTS 82-108, 124-152",1964,4,2,2158,0.6
15,585000,7026 N 14TH ST,85020,Active,6395663,PATIO DEL SOL,1950,3,2,1743,2.1
16,359995,6202 S 5TH AVE,85041,Active,6395658,SOUTHLAND UNIT 2,1947,4,2,1400,4.5
17,500000,920 E COLTER ST,85014,Active,6395644,MILIDA MANOR,1951,3,2,1318,1.9
18,674900,2546 E GLENROSA AVE,85016,Active,6393474,HOFFMAN TERRACE 1,1949,3,2,1957,3.2
19,385000,6912 N 49TH AVE,85301,UCB (Under Contract-Backups),6392204,CAVALIER DALE,1955,4,2,1631,0.0
20,169000,2144 E OAK ST,85006,Active,6395608,AVALON BLOCKS 1-4,1940,2,1,576,1.9
21,385000,2312 W LAUREL LN,85029,Active,6395603,VALLEY VISTA UNIT 4B,1969,4,2,1380,3.3
22,515000,3822 W WALTANN LN,85053,UCB (Under Contract-Backups),6392425,VERDE REAL 1,1982,3,2.5,1801,1.5
23,362000,3621 W El Camino DR,85051,Active,6395591,Stardust Skies 1,1962,3,2,1556,4.3
24,415000,5627 N 39TH DR,85019,Active,6395578,WEST PLAZA 20,1966,4,2,1866,2.5
25,395000,7428 W MINNEZONA AVE,85033,Active,6395577,SUNSET MEADOWS REPLAT,1981,3,2,1486,3.0
26,405000,4220 W BUTLER DR,85051,Active,6395576,STARDUST SKIES UNIT 7,1967,3,2,1454,4.3
27,765000,8143 E Weldon AVE,85251,Active,6391047,Scottsdale Estates 6,1958,4,2,1830,0.0
28,490000,4435 E WHITNEY LN,85032,Active,6395562,COVEY UNIT 7 LOT 329-363,1983,2,2,1441,3.2
29,675000,1716 E SOLANO DR,85016,Active,6395552,TANGERINE PARK 1 AMD,1949,4,3,2480,3.2
30,335000,4530 W SUNNYSLOPE LN,85302,Active,6395551,SKYVIEW NORTH 1,1971,3,2,1120,0.0
