ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
1,427167,3231 W MARYLAND AVE,85017,Active,WEST PLAZA 6 LOT 614-787,1958,3,2,1302
2,400000,5109 E THOMAS RD,85018,Active,PAPAGO VILLAGE,1943,0,0,1358
3,399900,8020 W STELLA AVE,85303,Active,SHALIMAR,1997,3,2,1505
4,349000,6944 W Verde LN,85033,Active,MARYVALE TERRACE NO. 49,1983,3,3,1514
5,419000,4105 W PASADENA AVE,85019,Active,TU-DOR ESTATES,1971,4,2,1908
6,428900,2917 W SIERRA ST,85029,Active,GOLDWATER LAKES,1977,2,2,1272
7,360000,3632 W RUTH AVE,85051,Active,SUNSET GARDENS,1960,3,1.75,1566
8,360000,5628 S 41ST ST,85040,Active,KNOELL GARDEN GROVES UNIT 6,1979,2,2,1120
9,875000,541 W MARLETTE AVE,85013,Active,AMBASSADOR ESTS,1960,3,2,2270
10,335000,6716 N 51ST DR,85301,Active,SHEETS ADD,1947,3,2,1210
11,386000,4137 E LA SALLE ST,85040,UCB (Under Contract-Backups),FIORE,2004,3,2,1149
12,599000,2536 E SYLVIA ST,85032,UCB (Under Contract-Backups),CLEARVIEW 3,1971,4,2,1811
13,420000,4020 W Montebello AVE,85019,Active,West Plaza 17,1965,3,1.75,1673
14,870000,3701 E Laurel LN,85028,Active,"STAR OF PARADISE 2 LOTS 82-108, 124-152",1964,4,2,2158
15,585000,7026 N 14TH ST,85020,Active,PATIO DEL SOL,1950,3,2,1743
16,359995,6202 S 5TH AVE,85041,Active,SOUTHLAND UNIT 2,1947,4,2,1400
17,500000,920 E COLTER ST,85014,Active,MILIDA MANOR,1951,3,2,1318
18,674900,2546 E GLENROSA AVE,85016,Active,HOFFMAN TERRACE 1,1949,3,2,1957
19,385000,6912 N 49TH AVE,85301,UCB (Under Contract-Backups),CAVALIER DALE,1955,4,2,1631
20,169000,2144 E OAK ST,85006,Active,AVALON BLOCKS 1-4,1940,2,1,576
21,385000,2312 W LAUREL LN,85029,Active,VALLEY VISTA UNIT 4B,1969,4,2,1380
22,515000,3822 W WALTANN LN,85053,UCB (Under Contract-Backups),VERDE REAL 1,1982,3,2.5,1801
23,362000,3621 W El Camino DR,85051,Active,Stardust Skies 1,1962,3,2,1556
24,415000,5627 N 39TH DR,85019,Active,WEST PLAZA 20,1966,4,2,1866
25,395000,7428 W MINNEZONA AVE,85033,Active,SUNSET MEADOWS REPLAT,1981,3,2,1486
26,405000,4220 W BUTLER DR,85051,Active,STARDUST SKIES UNIT 7,1967,3,2,1454
27,765000,8143 E Weldon AVE,85251,Active,Scottsdale Estates 6,1958,4,2,1830
28,490000,4435 E WHITNEY LN,85032,Active,COVEY UNIT 7 LOT 329-363,1983,2,2,1441
29,675000,1716 E SOLANO DR,85016,Active,TANGERINE PARK 1 AMD,1949,4,3,2480
30,335000,4530 W SUNNYSLOPE LN,85302,Active,SKYVIEW NORTH 1,1971,3,2,1120
31,470000,5313 S 8TH DR,85041,Active,CYPRESS ON SUNLAND,2004,3,2.5,1798
32,744900,3727 E SAHUARO DR,85028,Active,SHEA FOOTHILLS,1970,4,2,1980
33,320000,4144 N 29TH DR,85017,Active,MISSION MANOR 2,1952,4,2,1356
34,399900,6408 W FLYNN LN,85301,Active,WESTDALE ESTATES UNIT 1,1973,4,2,2201
35,425000,9606 N 14TH ST,85020,UCB (Under Contract-Backups),S 65' OF N 311.16' OF W 94' OF E 124' OF NW4 SE4 .14 AC,1958,4,2,1758
36,529420,3550 E EDNA AVE,85032,Active,"PREMIERE AT SUMMER BREEZE TWO LOT 97-166 TR A,B",1992,3,2,1157
37,750000,5827 N 10TH ST,85014,Active,MARLEN GROVE,1952,3,2,1703
38,475900,2730 E DAHLIA DR,85032,Active,CLEARVIEW 6,1972,3,2,1380
39,496000,5026 W LAWRENCE RD,85301,Active,CAVALIER DALE,1955,4,2,1984
40,524000,4346 W SHAW BUTTE DR,85304,Active,LAUREL COVE,2017,4,2,2024
41,485000,10013 N 54TH AVE,85302,Active,OAKDALE,1984,4,3.5,2201
42,795000,544 W THUNDERBIRD RD,85023,Active,"MOON VALLEY LOTS 1-128, 146-339, TR A-E",1971,4,2,2150
43,570000,7215 N 15TH PL,85020,Active,SANDOLLAR AMENDED,1975,3,2.5,2098
44,379750,7214 W CAVALIER DR,85303,Active,BETHANY HERMOSA PARK 1,1970,3,2,1235
45,419000,6615 W COOLIDGE ST,85033,Active,PARKSIDE UNIT 2,1973,4,2,1681
46,299000,3525 W OCOTILLO RD,85019,Active,WEST PLAZA 9 LOT 1249-1410,1959,3,1.75,2144
47,699900,2525 N MITCHELL ST,85006,Active,FOWLER TRACT LOTS 1-96,1915,4,2,1925
48,329900,1508 W CARTER RD,85041,Active,VISTA GRANDE UNIT 4,1982,3,2,1208
49,420000,5315 W Saint Moritz LN,85306,Active,PATIO HOMES NORTH 5,1971,4,2,1288
50,975000,7810 N 16TH LN,85021,Active,SKAGGS ESTATES,1952,3,2,2513
51,414000,1641 N 27TH PL,85008,Active,WILLIAM CREIGHTON MANOR,1951,3,2,1217
52,348000,6447 W PICCADILLY RD,85033,Active,Sunset Knoll 2,1960,3,2,1300
53,365000,3624 W CORONADO RD,85009,Active,TOWN HOUSE PARK,1953,3,2,1227
54,399000,3706 S 57th LN,85043,Active,CYPRESS RIDGE PHASE 1,2021,3,2.5,1958
55,439000,9817 N 40TH DR,85051,Active,NEWCASTLE VILLAGE UNIT 4,1971,3,1.75,1759
56,995000,3215 E ORANGE DR,85018,UCB (Under Contract-Backups),BILTMORE CIRCLE,1960,3,2,1474
57,459000,1107 E EL CAMINITO DR,85020,UCB (Under Contract-Backups),NEW NORTHTOWN 2,1959,3,2,1508
58,410000,4426 W VOGEL AVE,85302,Active,CONTINENTAL MEADOWS NORTH UNIT 5,1971,3,2,1432
59,450000,8312 N 62ND DR,85302,Active,EXECUTIVE PALMS,1997,4,2.5,2163
60,699000,6825 N 10TH PL,85014,Active,PALM TERRACE 2,1950,4,2,1575
61,445000,2206 W GLENDALE AVE,85021,Active,NEWCASTLE HOMES 1 LOTS 1-121,1956,4,3,1581
62,375000,8501 W MEADOWBROOK AVE,85037,Active,HORIZONS ON CAMELBACK UNIT 2,1996,3,2,1500
63,600000,927 N 8TH ST,85006,Active,HAMILTON SUB.,1911,2,1,1022
64,715000,717 W CALDWELL ST,85041,Active,EMBARCADERO AT SOUTH MOUNTAIN,2017,5,4,2789
65,499900,5723 S 30TH GLN,85041,Active,PARK MEADOWS UNIT 2,2019,3,2,1547
66,320000,5524 W WINDSOR AVE,85035,Active,HOMESTEAD TERRACE UNIT 4,1969,3,2,1260
