Price,zip,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Hightest_Rated_School
427167,85017,1958,3,2.0,1302.0,4.1,100.04
400000,85018,1943,0,0.0,1358.0,2.2,75.8
399900,85303,1997,3,2.0,1505.0,0.0,95.89
349000,85033,1983,3,3.0,1514.0,3.0,95.89
419000,85019,1971,4,2.0,1908.0,2.5,100.04
428900,85029,1977,2,2.0,1272.0,3.3,91.9
360000,85051,1960,3,1.75,1566.0,4.3,91.9
360000,85040,1979,2,2.0,1120.0,2.8,76.54
875000,85013,1960,3,2.0,2270.0,2.0,72.93
335000,85301,1947,3,2.0,1210.0,0.0,100.04
386000,85040,2004,3,2.0,1149.0,2.8,76.54
599000,85032,1971,4,2.0,1811.0,3.2,99.97
420000,85019,1965,3,1.75,1673.0,2.5,100.04
870000,85028,1964,4,2.0,2158.0,0.6,99.97
585000,85020,1950,3,2.0,1743.0,2.1,97.13
359995,85041,1947,4,2.0,1400.0,4.5,76.54
500000,85014,1951,3,2.0,1318.0,1.9,97.13
674900,85016,1949,3,2.0,1957.0,3.2,97.13
385000,85301,1955,4,2.0,1631.0,0.0,100.04
169000,85006,1940,2,1.0,576.0,1.9,94.44
385000,85029,1969,4,2.0,1380.0,3.3,91.9
515000,85053,1982,3,2.5,1801.0,1.5,91.9
362000,85051,1962,3,2.0,1556.0,4.3,91.9
415000,85019,1966,4,2.0,1866.0,2.5,100.04
395000,85033,1981,3,2.0,1486.0,3.0,95.89
405000,85051,1967,3,2.0,1454.0,4.3,91.9
765000,85251,1958,4,2.0,1830.0,0.0,101.35
490000,85032,1983,2,2.0,1441.0,3.2,99.97
675000,85016,1949,4,3.0,2480.0,3.2,97.13
335000,85302,1971,3,2.0,1120.0,0.0,91.9
470000,85041,2004,3,2.5,1798.0,4.5,76.54
744900,85028,1970,4,2.0,1980.0,0.6,99.97
320000,85017,1952,4,2.0,1356.0,4.1,100.04
399900,85301,1973,4,2.0,2201.0,0.0,100.04
425000,85020,1958,4,2.0,1758.0,2.1,97.13
529420,85032,1992,3,2.0,1157.0,3.2,99.97
750000,85014,1952,3,2.0,1703.0,1.9,97.13
475900,85032,1972,3,2.0,1380.0,3.2,99.97
496000,85301,1955,4,2.0,1984.0,0.0,100.04
524000,85304,2017,4,2.0,2024.0,0.2,91.9
485000,85302,1984,4,3.5,2201.0,0.0,91.9
795000,85023,1971,4,2.0,2150.0,3.4,91.9
570000,85020,1975,3,2.5,2098.0,2.1,97.13
379750,85303,1970,3,2.0,1235.0,0.0,95.89
419000,85033,1973,4,2.0,1681.0,3.0,95.89
299000,85019,1959,3,1.75,2144.0,2.5,100.04
699900,85006,1915,4,2.0,1925.0,1.9,94.44
329900,85041,1982,3,2.0,1208.0,4.5,76.54
420000,85306,1971,4,2.0,1288.0,0.3,91.9
975000,85021,1952,3,2.0,2513.0,2.8,91.9
414000,85008,1951,3,2.0,1217.0,4.5,81.79
348000,85033,1960,3,2.0,1300.0,3.0,95.89
365000,85009,1953,3,2.0,1227.0,4.0,65.7
399000,85043,2021,3,2.5,1958.0,3.2,76.86
439000,85051,1971,3,1.75,1759.0,4.3,91.9
995000,85018,1960,3,2.0,1474.0,2.2,75.8
459000,85020,1959,3,2.0,1508.0,2.1,97.13
410000,85302,1971,3,2.0,1432.0,0.0,91.9
450000,85302,1997,4,2.5,2163.0,0.0,91.9
699000,85014,1950,4,2.0,1575.0,1.9,97.13
445000,85021,1956,4,3.0,1581.0,2.8,91.9
375000,85037,1996,3,2.0,1500.0,1.9,85.28
600000,85006,1911,2,1.0,1022.0,1.9,94.44
715000,85041,2017,5,4.0,2789.0,4.5,76.54
499900,85041,2019,3,2.0,1547.0,4.5,76.54
320000,85035,1969,3,2.0,1260.0,3.3,95.89
700000,85257,1958,4,2.0,1380.0,2.5,101.35
275000,85301,1959,3,1.25,1020.0,0.0,100.04
499990,85029,1959,4,2.0,2180.0,3.3,91.9
750000,85016,1962,3,2.0,1613.0,3.2,97.13
428000,85009,1951,4,2.0,1888.0,4.0,65.7
974999,85032,2006,5,3.5,3515.0,3.2,99.97
389900,85031,1955,3,2.0,1400.0,2.4,100.04
406000,85031,1957,4,2.0,1692.0,2.4,100.04
549000,85032,1986,3,2.0,1608.0,3.2,99.97
465000,85006,1920,3,2.0,1047.0,1.9,94.44
550000,85302,2005,4,2.5,2961.0,0.0,91.9
425000,85029,1970,3,2.0,1986.0,3.3,91.9
450000,85306,1972,3,2.0,1820.0,0.3,91.9
479900,85250,1961,3,1.75,1260.0,2.5,101.35
410000,85035,2017,4,2.5,1727.0,3.3,95.89
365000,85033,1962,3,2.0,1080.0,3.0,95.89
345000,85042,1971,3,1.75,1200.0,2.9,76.54
425000,85032,1972,3,2.0,1460.0,3.2,99.97
466000,85041,2017,3,3.0,1791.0,4.5,76.54
775000,85302,2018,5,3.0,3021.0,0.0,91.9
379900,85033,1961,4,2.0,1300.0,3.0,95.89
549000,85028,1960,3,2.0,1656.0,0.6,99.97
459000,85040,2021,4,3.0,2304.0,2.8,76.54
445000,85029,1969,4,2.0,1821.0,3.3,91.9
380000,85040,1959,3,2.5,1083.0,2.8,76.54
850000,85003,1937,3,2.0,1478.0,1.1,94.44
399000,85029,1995,3,2.5,1568.0,3.3,91.9
350000,85014,1950,2,1.0,1586.0,1.9,97.13
605000,85042,2001,3,2.0,2144.0,2.9,76.54
630000,85020,1998,4,2.5,2408.0,2.1,97.13
425000,85304,1973,4,2.0,1730.0,0.2,91.9
275000,85033,1961,3,1.5,952.0,3.0,95.89
450000,85029,1966,4,2.0,1560.0,3.3,91.9
525000,85304,1996,4,2.0,1979.0,0.2,91.9
450000,85015,1956,3,2.0,2124.0,5.5,100.04
470000,85304,1972,4,2.0,1975.0,0.2,91.9
475000,85028,1994,3,2.0,1306.0,0.6,99.97
449500,85051,1974,3,2.0,1743.0,4.3,91.9
