Zip,Elem_School_District,Hightest_Rated_School
85003,Phoenix Elementary,94.44
85004,Phoenix Elementary,94.44
85006,Phoenix Elementary,94.44
85007,Phoenix Elementary,94.44
85008,Balsz,81.79
85009,Murphy,65.70
85012,Osborn,72.93
85013,Osborn,72.93
85014,Madison,97.13
85015,Alhambra,100.04
85016,Madison,97.13
85017,Alhambra,100.04
85018,Creighton,75.80
85019,Alhambra,100.04
85020,Madison,97.13
85021,Washington,91.90
85022,Paradise Valley Unified,99.97
85023,Washington,91.90
85028,Paradise Valley Unified,99.97
85029,Washington,91.90
85031,Alhambra,100.04
85032,Paradise Valley Unified,99.97
85033,Cartwright,95.89
85034,Wilson,68.34
85035,Cartwright,95.89
85037,Pendergast,85.28
85040,Roosevelt,76.54
85041,Roosevelt,76.54
85042,Roosevelt,76.54
85043,Fowler,76.86
85051,Washington,91.90
85053,Washington,91.90
85250,Scottsdale Unified,101.35
85251,Scottsdale Unified,101.35
85254,Paradise Valley Unified,99.97
85257,Scottsdale Unified,101.35
85258,Scottsdale Unified,101.35
85281,Tempe,94.49
85282,Tempe,94.49
85301,Alhambra,100.04
85302,Washington,91.90
85303,Cartwright,95.89
85304,Washington,91.90
85305,Pendergast,85.28
85306,Washington,91.90
85339,Laveen,94.47
85345,Pendergast,85.28
