ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
1,400000,2549 N MITCHELL ST,85006,Closed,FOWLER TRACT LOTS 1-96,1918,3,1,1195
2,790000,5008 E CHARTER OAK RD,85254,Closed,GREENBRIER EAST UNIT 1,1976,4,2,2034
3,379900,6135 W LAWRENCE RD,85301,Closed,ORCHARD ADD BLK 11 LOT 1,1959,4,2,1271
4,435000,7937 W HIGHLAND AVE,85033,Closed,MARYVALE TERRACE,1979,3,2,1390
5,441000,12619 N 42ND DR,85029,Closed,TAMARRON 1,1978,4,2,1468
6,830000,4642 N 40TH ST,85018,Closed,BRIDGEWOOD NORTH 40,1973,3,2,1837
7,382000,1239 E Fremont RD,85042,Closed,Oro Vista,2009,3,2,1377
8,342000,1716 N 77TH GLN,85035,Closed,VINSANTO,2007,2,2.5,1284
9,350000,3034 E DIAMOND ST,85008,Closed,MCDOWELL HOMES BLK 1-4,1950,3,2,1366
10,440000,7753 W BONITOS DR,85035,Closed,VINSANTO,2013,3,3,1934
11,450000,3609 W BROWN ST,85051,Closed,CAVALIER FREEWAY NORTH UNIT 2,1970,4,2,1916
12,543000,2323 W BEVERLY RD,85041,Closed,SILVA MOUNTAIN UNIT 1,2007,4,2,2236
13,320000,2902 W NORTHERN AVE,85051,Closed,ALTA VISTA 2,1953,2,1,822
14,290000,5032 S 35TH DR,85041,Closed,ARRINGTON PL TR A,1952,5,2,1410
15,750000,1708 E MONTEBELLO AVE,85016,Closed,TANGERINE PARK 1 AMD,1950,3,3,2254
16,370000,7233 W COLTER ST,85303,Closed,WEST CAMELBACK VILLAGE 3,1978,2,2,1048
17,800000,5002 E PARADISE DR,85254,Closed,TAMI ESTATES,1973,3,1.75,2009
18,820000,3002 E WELDON AVE,85016,Closed,SANTO TOMAS EAST,1971,3,2,1775
19,385000,3729 W BUTLER DR,85051,Closed,STARDUST SKIES UNIT 4,1964,3,2,1282
20,460000,8346 N 55TH AVE,85302,Closed,DEBORAH HOMES NO. 3,1971,5,3,2155
21,305000,8622 S 7TH PL,85042,Closed,CRESTLEA 2,1964,3,1,1039
22,545000,2738 N GREENFIELD RD,85006,Closed,GREENFIELD GARDENS BLOCKS 6 7,1944,4,2,2102
23,520000,4640 N 11TH PL,85014,Closed,HIXSON HOMES,1947,4,2,1975
